Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Metafield: custom.subtitle [single_line_text_field],Metafield: custom.colour_swatches [single_line_text_field]
msfc003-womens-long-sleeve,,,,,,,,,White,,L,,,MSFC003-WHI-L,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-WHI-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,White,,XL,,,MSFC003-WHI-XL,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-WHI-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Navy,,S,,,MSFC003-NAV-S,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-NAV-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Navy,,M,,,MSFC003-NAV-M,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-NAV-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Navy,,L,,,MSFC003-NAV-L,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-NAV-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Navy,,XL,,,MSFC003-NAV-XL,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-NAV-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Black,,S,,,MSFC003-BLA-S,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-BLA-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Black,,M,,,MSFC003-BLA-M,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-BLA-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Black,,L,,,MSFC003-BLA-L,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-BLA-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,Black,,XL,,,MSFC003-BLA-XL,220,shopify,5,deny,manual,149.00,,TRUE,TRUE,,,,,,,,,,,MSFC003-BLA-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,g,,,,,
msfc003-womens-long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-front.webp,2,Classic Long Sleeve Base Layer,,,,,,,,,,,,,,,,
msfc003-womens-long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-back.webp,3,Classic Long Sleeve Base Layer,,,,,,,,,,,,,,,,
msfc003-womens-long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-waist-detail.webp,4,Classic Long Sleeve Base Layer,,,,,,,,,,,,,,,,
msfc003-womens-long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-grip-detail.webp,5,Classic Long Sleeve Base Layer,,,,,,,,,,,,,,,,
msfc003-womens-long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfc003-studio.webp,6,Classic Long Sleeve Base Layer,,,,,,,,,,,,,,,,
msfwx008-sleeveless-shirt,Sleeveless High Neck Riding Shirt,"<p>A clean sleeveless layer with a refined high neck and softly shaped fit. Made for warm-weather riding, polished competition looks and the easy rhythm of days spent around horses.</p>
<ul><li>Refined high neck with a soft inner facing</li><li>Sleeveless cut shaped through the waist</li><li>Quick-drying, breathable hand feel for warm weather</li><li>Clean armhole binding that stays flat under a jacket</li></ul>
<p><strong>Fabric</strong><br>80% recycled polyamide, 20% elastane performance jersey.</p>
<p><strong>Care</strong><br>Machine wash cold on a gentle cycle with like colours. Do not tumble dry, bleach or iron. Dry flat in the shade.</p>",Maison Cavallé,Apparel & Accessories > Clothing > Shirts & Tops,Sleeveless performance jersey · Four colourways,"Tops, Women, Sleeveless, New, Maison Cavallé",TRUE,Color,Black,Size,XS,,,MSFWX008-BLA-XS,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,1,Sleeveless High Neck Riding Shirt,FALSE,Sleeveless High Neck Riding Shirt | Maison Cavallé,"Sleeveless performance jersey · Four colourways. A clean sleeveless layer with a refined high neck and softly shaped fit. Made for warm-weather riding, polished competition looks and the easy rhythm of days spent around horses.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,MSFWX008-BLA-XS,new,FALSE,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,g,,,active,Sleeveless performance jersey · Four colourways,Black:#1c1d1c | Navy:#1e2d45 | White:#f5f3ef | Burgundy:#713744
msfwx008-sleeveless-shirt,,,,,,,,,Black,,S,,,MSFWX008-BLA-S,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BLA-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Black,,M,,,MSFWX008-BLA-M,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BLA-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Black,,L,,,MSFWX008-BLA-L,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BLA-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Black,,XL,,,MSFWX008-BLA-XL,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BLA-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-rider.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Navy,,XS,,,MSFWX008-NAV-XS,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-NAV-XS,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-back.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Navy,,S,,,MSFWX008-NAV-S,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-NAV-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-back.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Navy,,M,,,MSFWX008-NAV-M,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-NAV-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-back.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,White,,XS,,,MSFWX008-WHI-XS,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-WHI-XS,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,White,,M,,,MSFWX008-WHI-M,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-WHI-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,White,,L,,,MSFWX008-WHI-L,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-WHI-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,White,,XL,,,MSFWX008-WHI-XL,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-WHI-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Burgundy,,XS,,,MSFWX008-BUR-XS,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BUR-XS,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Burgundy,,S,,,MSFWX008-BUR-S,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BUR-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Burgundy,,M,,,MSFWX008-BUR-M,180,shopify,5,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BUR-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Burgundy,,L,,,MSFWX008-BUR-L,180,shopify,1,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BUR-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,Burgundy,,XL,,,MSFWX008-BUR-XL,180,shopify,1,deny,manual,119.00,,TRUE,TRUE,,,,,,,,,,,MSFWX008-BUR-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,g,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-back.webp,2,Sleeveless High Neck Riding Shirt,,,,,,,,,,,,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-riding.webp,3,Sleeveless High Neck Riding Shirt,,,,,,,,,,,,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-waist-detail.webp,4,Sleeveless High Neck Riding Shirt,,,,,,,,,,,,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-grip-detail.webp,5,Sleeveless High Neck Riding Shirt,,,,,,,,,,,,,,,,
msfwx008-sleeveless-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfwx008-studio.webp,6,Sleeveless High Neck Riding Shirt,,,,,,,,,,,,,,,,
msfd003-womens-short-sleeve,Soft Collar Riding Polo,"<p>An understated short-sleeve polo with a softly structured collar and neat athletic lines. Easy to move in and simple to style, it brings a considered finish to everyday riding.</p>
<ul><li>Softly structured collar that holds its shape</li><li>Three-button placket with tonal branding</li><li>Neat athletic lines through the shoulder and sleeve</li><li>Breathable, quick-drying and easy to layer</li></ul>
<p><strong>Fabric</strong><br>88% recycled polyester, 12% elastane piqué-backed jersey.</p>
<p><strong>Care</strong><br>Machine wash cold on a gentle cycle with like colours. Do not tumble dry, bleach or iron. Dry flat in the shade.</p>",Maison Cavallé,Apparel & Accessories > Clothing > Shirts & Tops,Short-sleeve performance jersey · Five colourways,"Tops, Women, Short Sleeve, Polo, New, Maison Cavallé",TRUE,Color,Pink,Size,S,,,MSFD003-PIN-S,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-riding.webp,1,Soft Collar Riding Polo,FALSE,Soft Collar Riding Polo | Maison Cavallé,"Short-sleeve performance jersey · Five colourways. An understated short-sleeve polo with a softly structured collar and neat athletic lines. Easy to move in and simple to style, it brings a considered finish to everyday riding.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,MSFD003-PIN-S,new,FALSE,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-riding.webp,g,,,active,Short-sleeve performance jersey · Five colourways,Pink:#d5a2a7 | Light Blue:#a9c5dc | Navy Blue:#20314e | White:#f5f3ef | Black:#1c1d1c
msfd003-womens-short-sleeve,,,,,,,,,Pink,,M,,,MSFD003-PIN-M,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-PIN-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-riding.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Pink,,L,,,MSFD003-PIN-L,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-PIN-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-riding.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Pink,,XL,,,MSFD003-PIN-XL,200,shopify,4,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-PIN-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-riding.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Light Blue,,S,,,MSFD003-LTB-S,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-LTB-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-back.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Light Blue,,M,,,MSFD003-LTB-M,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-LTB-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-back.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Light Blue,,L,,,MSFD003-LTB-L,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-LTB-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-back.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Light Blue,,XL,,,MSFD003-LTB-XL,200,shopify,3,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-LTB-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-back.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Navy Blue,,S,,,MSFD003-NVB-S,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-NVB-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Navy Blue,,M,,,MSFD003-NVB-M,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-NVB-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Navy Blue,,L,,,MSFD003-NVB-L,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-NVB-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Navy Blue,,XL,,,MSFD003-NVB-XL,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-NVB-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,White,,S,,,MSFD003-WHI-S,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-WHI-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,White,,M,,,MSFD003-WHI-M,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-WHI-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,White,,L,,,MSFD003-WHI-L,200,shopify,4,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-WHI-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Black,,S,,,MSFD003-BLA-S,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-BLA-S,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Black,,M,,,MSFD003-BLA-M,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-BLA-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Black,,L,,,MSFD003-BLA-L,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-BLA-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,Black,,XL,,,MSFD003-BLA-XL,200,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD003-BLA-XL,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,g,,,,,
msfd003-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-front.webp,2,Soft Collar Riding Polo,,,,,,,,,,,,,,,,
msfd003-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-back.webp,3,Soft Collar Riding Polo,,,,,,,,,,,,,,,,
msfd003-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-waist-detail.webp,4,Soft Collar Riding Polo,,,,,,,,,,,,,,,,
msfd003-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-grip-detail.webp,5,Soft Collar Riding Polo,,,,,,,,,,,,,,,,
msfd003-womens-short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd003-studio.webp,6,Soft Collar Riding Polo,,,,,,,,,,,,,,,,
msfd007-womens-short-sleeve,Contrast Collar Riding Polo,"<p>A polished short-sleeve riding polo with a crisp contrast collar and clean placket. Designed to bring a quietly tailored finish to training days, show preparation and life beyond the stable.</p>
<ul><li>Crisp contrast collar and clean placket</li><li>Tailored finish for training and show preparation</li><li>Moisture-wicking, breathable technical piqué</li><li>Reinforced shoulder seams for daily wear</li></ul>
<p><strong>Fabric</strong><br>88% recycled polyester, 12% elastane technical piqué.</p>
<p><strong>Care</strong><br>Machine wash cold on a gentle cycle with like colours. Do not tumble dry, bleach or iron. Dry flat in the shade.</p>",Maison Cavallé,Apparel & Accessories > Clothing > Shirts & Tops,Short-sleeve technical polo · Black / Navy Blue,"Tops, Women, Short Sleeve, Polo, New, Maison Cavallé",TRUE,Color,Black,Size,S,,,MSFD007-BLA-S,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,1,Contrast Collar Riding Polo,FALSE,Contrast Collar Riding Polo | Maison Cavallé,"Short-sleeve technical polo · Black / Navy Blue. A polished short-sleeve riding polo with a crisp contrast collar and clean placket. Designed to bring a quietly tailored finish to training days, show preparation and life beyond the stable.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,MSFD007-BLA-S,new,FALSE,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,active,Short-sleeve technical polo · Black / Navy Blue,Black:#1c1d1c | Navy Blue:#1e2d45
msfd007-womens-short-sleeve,,,,,,,,,Black,,M,,,MSFD007-BLA-M,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-BLA-M,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Black,,L,,,MSFD007-BLA-L,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-BLA-L,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-riding.webp,g,,,,,
msfd007-womens-short-sleeve,,,,,,,,,Navy Blue,,XS,,,MSFD007-NVB-XS,205,shopify,5,deny,manual,129.00,,TRUE,TRUE,,,,,,,,,,,MSFD007-NVB-XS,,,https://maison-cavalle-2.myshopify.com/cdn/shop/files/jci-msfd007-back.webp,g,,,,,
